Imagine,Metoda,Timp Mediu Executie (s),,,,,,,,,
bladder1.jpg,Otsu,0.039281368,,,,,,,,,
bladder1.jpg,Adaptive threshold,0.045426607,,,,,,,,,
bladder1.jpg,Watershed,0.061496973,,,,,,,,,
bladder1.jpg,K-means,0.417150736,,,,,,,,,
bladder1.jpg,Region Growing,0.29789567,,,,,,,,,
brain1.jpg,Otsu,0.022031546,,,,,,,,,
brain1.jpg,Adaptive threshold,0.032909155,,,,,,,,,
brain1.jpg,Watershed,0.05960083,,,,,,,,,
brain1.jpg,K-means,0.204718351,,,,,,,,,
brain1.jpg,Region Growing,0.134476185,,,,,,,,,
brain2.jpg,Otsu,0.036093235,,,,,,,,,
brain2.jpg,Adaptive threshold,0.032547235,,,,,,,,,
brain2.jpg,Watershed,0.05877614,,,,,,,,,
brain2.jpg,K-means,0.332349777,,,,,,,,,
brain2.jpg,Region Growing,0.65079236,,,,,,,,,
liver3.jpg,Otsu,0.042803764,,,,,,,,,
liver3.jpg,Adaptive threshold,0.053940535,,,,,,,,,
liver3.jpg,Watershed,0.066133022,,,,,,,,,
liver3.jpg,K-means,0.394985199,,,,,,,,,
liver3.jpg,Region Growing,1.203295708,,,,,,,,,
bladder2.jpeg,Otsu,0.03858304,,,,,,,,,
bladder2.jpeg,Adaptive threshold,0.033253193,,,,,,,,,
bladder2.jpeg,Watershed,0.065908432,,,,,,,,,
bladder2.jpeg,K-means,0.34726119,,,,,,,,,
bladder2.jpeg,Region Growing,1.33170557,,,,,,,,,
brain3.jpeg,Otsu,0.036317348,,,,,,,,,
brain3.jpeg,Adaptive threshold,0.05888319,,,,,,,,,
brain3.jpeg,Watershed,0.058374882,,,,,,,,,
brain3.jpeg,K-means,0.319251776,,,,,,,,,
brain3.jpeg,Region Growing,0.505828857,,,,,,,,,
brain5.jpeg,Otsu,0.036172152,,,,,,,,,
brain5.jpeg,Adaptive threshold,0.042152166,,,,,,,,,
brain5.jpeg,Watershed,0.085272312,,,,,,,,,
brain5.jpeg,K-means,0.39230299,,,,,,,,,
brain5.jpeg,Region Growing,1.140891075,,,,,,,,,
femur1.jpeg,Otsu,0.048041582,,,,,,,,,
femur1.jpeg,Adaptive threshold,0.030904055,,,,,,,,,
femur1.jpeg,Watershed,0.076485872,,,,,,,,,
femur1.jpeg,K-means,0.396934032,,,,,,,,,
femur1.jpeg,Region Growing,0.538288116,,,,,,,,,
liver1.jpeg,Otsu,0.046321154,,,,,,,,,
liver1.jpeg,Adaptive threshold,0.04977107,,,,,,,,,
liver1.jpeg,Watershed,0.081657648,,,,,,,,,
liver1.jpeg,K-means,0.37849617,,,,,,,,,
liver1.jpeg,Region Growing,0.737559319,,,,,,,,,
liver2.jpeg,Otsu,0.040637493,,,,,,,,,
liver2.jpeg,Adaptive threshold,0.040380001,,,,,,,,,
liver2.jpeg,Watershed,0.065105915,,,,,,,,,
liver2.jpeg,K-means,0.320538282,,,,,,,,,
liver2.jpeg,Region Growing,0.532607555,,,,,,,,,
brain4.png,Otsu,0.039041996,,,,,,,,,
brain4.png,Adaptive threshold,0.036279917,,,,,,,,,
brain4.png,Watershed,0.063102007,,,,,,,,,
brain4.png,K-means,0.308400869,,,,,,,,,
brain4.png,Region Growing,0.807935953,,,,,,,,,
lungs1.png,Otsu,0.032171011,,,,,,,,,
lungs1.png,Adaptive threshold,0.065762758,,,,,,,,,
lungs1.png,Watershed,0.058242559,,,,,,,,,
lungs1.png,K-means,0.398221016,,,,,,,,,
lungs1.png,Region Growing,0.778445721,,,,,,,,,
lungs2.png,Otsu,0.105744123,,,,,,,,,
lungs2.png,Adaptive threshold,0.110677719,,,,,,,,,
lungs2.png,Watershed,0.136855602,,,,,,,,,
lungs2.png,K-means,0.382342815,,,,,,,,,
lungs2.png,Region Growing,0.726466179,,,,,,,,,
lungs3.png,Otsu,0.049444675,,,,,,,,,
lungs3.png,Adaptive threshold,0.049161673,,,,,,,,,
lungs3.png,Watershed,0.067162037,,,,,,,,,
lungs3.png,K-means,0.249552488,,,,,,,,,
lungs3.png,Region Growing,0.667297602,,,,,,,,,
lungs4.png,Otsu,0.04031086,,,,,,,,,
lungs4.png,Adaptive threshold,0.040800095,,,,,,,,,
lungs4.png,Watershed,0.062894583,,,,,,,,,
lungs4.png,K-means,0.343239784,,,,,,,,,
lungs4.png,Region Growing,0.640124083,,,,,,,,,
lungs5.png,Otsu,0.049855232,,,,,,,,,
lungs5.png,Adaptive threshold,0.046866894,,,,,,,,,
lungs5.png,Watershed,0.05696106,,,,,,,,,
lungs5.png,K-means,0.386879921,,,,,,,,,
lungs5.png,Region Growing,0.668895721,,,,,,,,,
